run_id,epoch,seg_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_us,outside_loss,inside_presence_loss,area_loss,total_loss,dom_acc,bbox_in,bbox_iou,bbox_centroid_inside,predicted_area_ratio,mean_inside_prob,max_inside_prob,topk_inside_prob,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_us,val_outside_loss,val_inside_presence_loss,val_area_loss,val_bbox_in,val_bbox_iou,val_bbox_centroid_inside,val_predicted_area_ratio,val_mean_inside_prob,val_max_inside_prob,val_topk_inside_prob,alpha,lambda_mri,lambda_us,lambda_domain,use_dann,weak_mode,lr_encoder,lr_decoder,lr_discriminator,target_score,steps_per_epoch,is_best,timestamp
20260526_221217,1,0.036592,0.000000,0.000000,0.000000,1.872107,0.037251,0.341662,1.151533,0.972646,0.500000,0.031169,0.018098,0.031250,2.190723,0.008381,0.039221,0.019482,0.093144,0.887304,7.5557,0.945998,0.862156,0.002682,0.349679,0.160115,0.000000,0.000000,0.000000,0.061700,0.000154,0.001654,0.000321,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.817790,28,1,2026-05-26 22:14:12
20260526_221217,2,0.033656,0.000000,0.000000,0.000000,0.890321,0.001364,0.347492,0.193973,0.478817,0.500000,0.000000,0.000000,0.000000,0.000000,0.001278,0.014231,0.004746,0.096808,0.884001,7.7672,0.949561,0.852247,0.000262,0.349752,0.152482,0.000000,0.000000,0.000000,0.000000,0.000119,0.000924,0.000248,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.808047,28,1,2026-05-26 22:14:43
20260526_221217,3,0.033378,0.000000,0.000000,0.000000,0.922884,0.002751,0.344728,0.230678,0.494820,0.500000,0.000000,0.000000,0.000000,0.003328,0.001518,0.021682,0.005425,0.092460,0.890001,7.4167,0.944079,0.820061,0.000499,0.349751,0.120061,0.000000,0.000000,0.000000,0.004072,0.000117,0.001922,0.000249,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.775561,28,1,2026-05-26 22:15:14
20260526_221217,4,0.032145,0.000000,0.000000,0.000000,0.835788,0.001574,0.344088,0.146039,0.450039,0.500000,0.030900,0.001154,0.031250,0.020587,0.003895,0.022563,0.011410,0.092532,0.889944,7.4047,0.945175,0.806591,0.000597,0.349738,0.106518,0.000000,0.000000,0.000000,0.000000,0.000117,0.001908,0.000262,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.762093,28,1,2026-05-26 22:15:43
20260526_221217,5,0.030199,0.000000,0.000000,0.000000,0.826505,0.002275,0.339911,0.144408,0.443452,0.500000,0.000000,0.000000,0.000000,0.001707,0.007862,0.034218,0.020024,0.090141,0.892624,7.3083,0.947862,0.781408,0.000948,0.349717,0.081025,0.000000,0.000000,0.000000,0.000000,0.000121,0.003968,0.000283,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.736776,28,1,2026-05-26 22:16:13
20260526_221217,6,0.030117,0.000000,0.000000,0.000000,0.860319,0.002466,0.339343,0.179167,0.460277,0.500000,0.093614,0.034868,0.093750,0.793624,0.009525,0.039870,0.024547,0.089077,0.893973,7.1826,0.941447,0.776705,0.001076,0.349580,0.076468,0.000000,0.000000,0.000000,0.000143,0.000166,0.008768,0.000420,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.732006,28,1,2026-05-26 22:16:43
20260526_221217,7,0.030022,0.000000,0.000000,0.000000,0.892381,0.004124,0.335121,0.218014,0.476212,0.500000,0.056178,0.026579,0.062500,0.089409,0.011710,0.045524,0.030093,0.089177,0.893869,7.1639,0.939529,0.777905,0.001034,0.349238,0.078395,0.031250,0.000018,0.031250,0.000384,0.000271,0.020474,0.000762,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.712372,28,1,2026-05-26 22:17:11
20260526_221217,8,0.028451,0.000000,0.000000,0.000000,0.838634,0.003083,0.334875,0.165800,0.447768,0.500000,0.062374,0.036158,0.062500,0.069861,0.012786,0.052450,0.031274,0.085658,0.897687,7.0826,0.933936,0.773347,0.001120,0.348567,0.075093,0.028935,0.000109,0.031250,0.000660,0.000469,0.030893,0.001433,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.708365,28,1,2026-05-26 22:17:42
20260526_221217,9,0.029904,0.000000,0.000000,0.000000,0.792709,0.002333,0.335188,0.119999,0.426258,0.500000,0.031250,0.000170,0.031250,0.000263,0.012086,0.055930,0.032086,0.083787,0.899331,7.0069,0.935033,0.770067,0.001063,0.346169,0.076666,0.059028,0.000447,0.062500,0.001278,0.001115,0.052886,0.003831,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.684442,28,1,2026-05-26 22:18:12
20260526_221217,10,0.028974,0.000000,0.000000,0.000000,0.855152,0.003614,0.327073,0.197391,0.456550,0.500000,0.061734,0.010721,0.062500,0.011558,0.019515,0.073716,0.051714,0.083810,0.899298,6.9545,0.938980,0.758551,0.001149,0.343082,0.071238,0.058539,0.001086,0.062500,0.002553,0.001935,0.061227,0.006918,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.672878,28,1,2026-05-26 22:18:41
20260526_223121,1,0.034903,0.000000,0.000000,0.000000,2.450677,0.044242,0.339460,1.727516,1.260242,0.500000,0.024447,0.019620,0.031250,4.696211,0.009845,0.042324,0.021310,0.093571,0.886589,7.5794,0.948465,0.885095,0.004380,0.349645,0.181426,0.000000,0.000000,0.000000,0.095656,0.000162,0.001969,0.000355,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.840766,28,1,2026-05-26 22:33:49
20260526_223121,2,0.035132,0.000000,0.000000,0.000000,0.841910,0.001896,0.343060,0.153893,0.456087,0.500000,0.023148,0.000725,0.031250,0.015652,0.002737,0.033642,0.009456,0.097469,0.883162,8.0591,0.946272,0.850668,0.000452,0.349724,0.150767,0.000000,0.000000,0.000000,0.001706,0.000131,0.001002,0.000276,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.806510,28,1,2026-05-26 22:34:20
20260526_223121,3,0.031257,0.000000,0.000000,0.000000,0.799867,0.001838,0.341666,0.114696,0.431191,0.500000,0.057734,0.003344,0.062500,0.004018,0.005919,0.030359,0.016942,0.096762,0.884626,7.9458,0.949781,0.832020,0.000540,0.349704,0.132072,0.000000,0.000000,0.000000,0.003118,0.000132,0.001216,0.000296,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.787789,28,1,2026-05-26 22:34:50
20260526_223121,4,0.031766,0.000000,0.000000,0.000000,0.781391,0.003364,0.339890,0.098247,0.422461,0.500000,0.031250,0.011036,0.031250,0.011036,0.008389,0.034686,0.024471,0.093681,0.889369,7.5594,0.952577,0.784920,0.001315,0.349671,0.084262,0.000000,0.000000,0.000000,0.017885,0.000139,0.001672,0.000329,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.740452,28,1,2026-05-26 22:35:20
20260526_223121,5,0.031066,0.000000,0.000000,0.000000,0.821651,0.002935,0.338008,0.142700,0.441891,0.500000,0.031250,0.015137,0.031250,0.047934,0.008953,0.042104,0.025949,0.092558,0.890602,7.6212,0.946820,0.778771,0.001206,0.349593,0.078379,0.000000,0.000000,0.000000,0.009458,0.000165,0.001791,0.000407,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.734241,28,1,2026-05-26 22:35:51
20260526_223121,6,0.029847,0.000000,0.000000,0.000000,0.761188,0.002163,0.338824,0.081378,0.410441,0.500000,0.000000,0.000000,0.000000,0.028906,0.008761,0.038082,0.023108,0.090752,0.892866,7.5101,0.946930,0.774275,0.001271,0.349478,0.074047,0.000000,0.000000,0.000000,0.007235,0.000210,0.002050,0.000522,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.729631,28,1,2026-05-26 22:36:24
20260526_223121,7,0.029147,0.000000,0.000000,0.000000,0.753282,0.002167,0.339707,0.071700,0.405788,0.500000,0.000000,0.000000,0.000000,0.003228,0.007880,0.037887,0.021640,0.090014,0.893425,7.4769,0.941612,0.777715,0.001123,0.349549,0.077493,0.000000,0.000000,0.000000,0.004208,0.000186,0.001851,0.000451,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.733044,28,0,2026-05-26 22:36:53
20260526_223121,8,0.030609,0.000000,0.000000,0.000000,0.750831,0.002687,0.338615,0.070913,0.406025,0.500000,0.031093,0.014025,0.031250,0.014345,0.008109,0.038349,0.023592,0.087832,0.895632,7.3185,0.944353,0.773326,0.001243,0.349414,0.073256,0.000000,0.000000,0.000000,0.001566,0.000234,0.003198,0.000586,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.728545,28,1,2026-05-26 22:37:23
20260526_223121,9,0.028550,0.000000,0.000000,0.000000,0.742729,0.002665,0.338409,0.063246,0.399915,0.500000,0.062500,0.011153,0.062500,0.018962,0.008725,0.042420,0.024019,0.086152,0.897282,7.1887,0.946272,0.771226,0.001246,0.348908,0.072165,0.000000,0.000000,0.000000,0.002895,0.000413,0.006700,0.001092,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.726362,28,1,2026-05-26 22:37:53
20260526_223121,10,0.027336,0.000000,0.000000,0.000000,0.747448,0.002152,0.339178,0.066939,0.401061,0.500000,0.030074,0.006349,0.031250,0.007805,0.008576,0.039450,0.021553,0.085704,0.897892,7.1592,0.946820,0.772551,0.001181,0.349390,0.072590,0.000000,0.000000,0.000000,0.000446,0.000240,0.004077,0.000610,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.727656,28,0,2026-05-26 22:38:22
20260526_223121,11,0.031385,0.000000,0.000000,0.000000,0.784678,0.002909,0.337599,0.106571,0.423724,0.500000,0.027174,0.003768,0.031250,0.006105,0.008860,0.046539,0.025768,0.085545,0.897887,7.1864,0.941886,0.766431,0.001421,0.349270,0.066471,0.000000,0.000000,0.000000,0.002849,0.000279,0.008652,0.000730,0.236508,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.721537,28,1,2026-05-26 22:38:52
20260526_223121,12,0.029750,0.000000,0.000000,0.000000,0.743102,0.002668,0.338509,0.063416,0.401301,0.500000,0.093644,0.021417,0.093750,0.024302,0.006918,0.043100,0.022581,0.082879,0.901094,6.9421,0.932566,0.768370,0.001333,0.348751,0.069536,0.002841,0.000017,0.000000,0.006010,0.000451,0.020398,0.001249,0.455066,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.722363,28,0,2026-05-26 22:39:21
